,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: -16.1255ms 	T Bar position: 0ns 	B Bar position: -11.7505ms
//Channel name,| Bus1,*A0,*A1,*A2,
     90.1885ms,Unknown,0,0,1,
     90.189ms,Unknown,0,0,1,
     90.1895ms,Unknown,0,0,1,
     90.19ms,Unknown,0,0,1,
     90.1905ms,Unknown,0,0,1,
     90.191ms,Unknown,0,0,1,
     90.1915ms,Unknown,0,0,1,
     90.192ms,Unknown,0,0,1,
     90.1925ms,Unknown,0,0,1,
     90.193ms,Unknown,0,0,1,
     90.1935ms,Unknown,0,0,1,
     90.194ms,Unknown,0,0,1,
     90.1945ms,Unknown,0,0,1,
     90.195ms,Unknown,0,0,1,
     90.1955ms,Unknown,0,0,1,
     90.196ms,Unknown,0,0,1,
     90.1965ms,Unknown,0,0,1,
     90.197ms,Unknown,0,0,1,
     90.1975ms,Unknown,0,0,1,
     90.198ms,Unknown,0,0,1,
     90.1985ms,Unknown,0,0,1,
     90.199ms,Unknown,0,0,1,
     90.1995ms,Unknown,0,0,1,
     90.2ms,Unknown,0,0,1,
     90.2005ms,Unknown,0,0,1,
     90.201ms,Unknown,0,0,1,
     90.2015ms,Unknown,0,0,1,
     90.202ms,Unknown,0,0,1,
     90.2025ms,Unknown,0,0,1,
     90.203ms,Unknown,0,0,1,
     90.2035ms,Unknown,0,0,1,
     90.204ms,Unknown,0,0,1,
     90.2045ms,Unknown,0,0,1,
     90.205ms,Unknown,0,0,1,
     90.2055ms,Unknown,0,0,1,
     90.206ms,Unknown,0,0,1,
     90.2065ms,Unknown,0,0,1,
     90.207ms,Unknown,0,0,1,
     90.2075ms,Unknown,0,0,1,
     90.208ms,Unknown,0,0,1,
     90.2085ms,Unknown,0,0,1,
     90.209ms,Unknown,0,0,1,
     90.2095ms,Unknown,0,0,1,
     90.21ms,Unknown,0,0,1,
     90.2105ms,Unknown,0,0,1,
     90.211ms,Unknown,0,0,1,
     90.2115ms,Unknown,0,0,1,
     90.212ms,Unknown,0,0,1,
     90.2125ms,Unknown,0,0,1,
     90.213ms,Unknown,0,0,1,
     90.2135ms,Unknown,0,0,1,
     90.214ms,Unknown,0,0,1,
     90.2145ms,Unknown,0,0,1,
     90.215ms,Unknown,0,0,1,
     90.2155ms,Unknown,0,0,1,
     90.216ms,Unknown,0,0,1,
     90.2165ms,Unknown,0,0,1,
     90.217ms,Unknown,0,0,1,
     90.2175ms,Unknown,0,0,1,
     90.218ms,Unknown,0,0,1,
     90.2185ms,Unknown,0,0,1,
     90.219ms,Unknown,0,0,1,
     90.2195ms,Unknown,0,0,1,
     90.22ms,Unknown,0,0,1,
     90.2205ms,Unknown,0,0,1,
     90.221ms,Unknown,0,0,1,
     90.2215ms,Unknown,0,0,1,
     90.222ms,Unknown,0,0,1,
     90.2225ms,Unknown,0,0,1,
     90.223ms,Unknown,0,0,1,
     90.2235ms,Unknown,0,0,1,
     90.224ms,Unknown,0,0,1,
     90.2245ms,Unknown,0,0,1,
     90.225ms,Unknown,0,0,1,
     90.2255ms,Unknown,0,0,1,
     90.226ms,Unknown,0,0,1,
     90.2265ms,Unknown,0,0,1,
     90.227ms,Unknown,0,0,1,
     90.2275ms,Unknown,0,0,1,
     90.228ms,Unknown,0,0,1,
     90.2285ms,Unknown,0,0,1,
     90.229ms,Unknown,0,0,1,
     90.2295ms,Unknown,0,0,1,
     90.23ms,Unknown,0,0,1,
     90.2305ms,Unknown,0,0,1,
     90.231ms,Unknown,0,0,1,
     90.2315ms,Unknown,0,0,1,
     90.232ms,Unknown,0,0,1,
     90.2325ms,Unknown,0,0,1,
     90.233ms,Unknown,0,0,1,
     90.2335ms,Unknown,0,0,1,
     90.234ms,Unknown,0,0,1,
     90.2345ms,Unknown,0,0,1,
     90.235ms,Unknown,0,0,1,
     90.2355ms,Unknown,0,0,1,
     90.236ms,Unknown,0,0,1,
     90.2365ms,Unknown,0,0,1,
     90.237ms,Unknown,0,0,1,
     90.2375ms,Unknown,0,0,1,
     90.238ms,Unknown,0,0,1,
     90.2385ms,Unknown,0,0,1,
     90.239ms,Unknown,0,0,1,
     90.2395ms,Unknown,0,0,1,
     90.24ms,Unknown,0,0,1,
     90.2405ms,Unknown,0,0,1,
     90.241ms,Unknown,0,0,1,
     90.2415ms,Unknown,0,0,1,
     90.242ms,Unknown,0,0,1,
     90.2425ms,Unknown,0,0,1,
     90.243ms,Unknown,0,0,1,
     90.2435ms,Unknown,0,0,1,
     90.244ms,Unknown,0,0,1,
     90.2445ms,Unknown,0,0,1,
     90.245ms,Unknown,0,0,1,
     90.2455ms,Unknown,0,0,1,
     90.246ms,Unknown,0,0,1,
     90.2465ms,Unknown,0,0,1,
     90.247ms,Unknown,0,0,1,
     90.2475ms,Unknown,0,0,1,
     90.248ms,Unknown,0,0,1,
     90.2485ms,Unknown,0,0,1,
     90.249ms,Unknown,0,0,1,
     90.2495ms,Unknown,0,0,1,
     90.25ms,Unknown,0,0,1,
     90.2505ms,Unknown,0,0,1,
     90.251ms,Unknown,0,0,1,
     90.2515ms,Unknown,0,0,1,
     90.252ms,Unknown,0,0,1,
     90.2525ms,Unknown,0,0,1,
     90.253ms,Unknown,0,0,1,
     90.2535ms,Unknown,0,0,1,
     90.254ms,Unknown,0,0,1,
     90.2545ms,Unknown,0,0,1,
     90.255ms,Unknown,0,0,1,
     90.2555ms,Unknown,0,0,1,
     90.256ms,Unknown,0,0,1,
     90.2565ms,Unknown,0,0,1,
     90.257ms,Unknown,0,0,1,
     90.2575ms,Unknown,0,0,1,
     90.258ms,Unknown,0,0,1,
     90.2585ms,Unknown,0,0,1,
     90.259ms,Unknown,0,0,1,
     90.2595ms,Unknown,0,0,1,
     90.26ms,Unknown,0,0,1,
     90.2605ms,Unknown,0,0,1,
     90.261ms,Unknown,0,0,1,
     90.2615ms,Unknown,0,0,1,
     90.262ms,Unknown,0,0,1,
     90.2625ms,Unknown,0,0,1,
     90.263ms,Unknown,0,0,1,
     90.2635ms,Unknown,0,0,1,
     90.264ms,Unknown,0,0,1,
     90.2645ms,Unknown,0,0,1,
     90.265ms,Unknown,0,0,1,
     90.2655ms,Unknown,0,0,1,
     90.266ms,Unknown,0,0,1,
     90.2665ms,Unknown,0,0,1,
     90.267ms,Unknown,0,0,1,
     90.2675ms,Unknown,0,0,1,
     90.268ms,Unknown,0,0,1,
     90.2685ms,Unknown,0,0,1,
     90.269ms,Unknown,0,0,1,
     90.2695ms,Unknown,0,0,1,
     90.27ms,Unknown,0,0,1,
     90.2705ms,Unknown,0,0,1,
     90.271ms,Unknown,0,0,1,
     90.2715ms,Unknown,0,0,1,
     90.272ms,Unknown,0,0,1,
     90.2725ms,Unknown,0,0,1,
     90.273ms,Unknown,0,0,1,
     90.2735ms,Unknown,0,0,1,
     90.274ms,Unknown,0,0,1,
     90.2745ms,Unknown,0,0,1,
     90.275ms,Unknown,0,0,1,
     90.2755ms,Unknown,0,0,1,
     90.276ms,Unknown,0,0,1,
     90.2765ms,Unknown,0,0,1,
     90.277ms,Unknown,0,0,1,
     90.2775ms,Unknown,0,0,1,
     90.278ms,Unknown,0,0,1,
     90.2785ms,Unknown,0,0,1,
     90.279ms,Unknown,0,0,1,
     90.2795ms,Unknown,0,0,1,
     90.28ms,Unknown,0,0,1,
     90.2805ms,Unknown,0,0,1,
     90.281ms,Unknown,0,0,1,
     90.2815ms,Unknown,0,0,1,
     90.282ms,Unknown,0,0,1,
     90.2825ms,Unknown,0,0,1,
     90.283ms,Unknown,0,0,1,
     90.2835ms,Unknown,0,0,1,
     90.284ms,Unknown,0,0,1,
     90.2845ms,Unknown,0,0,1,
     90.285ms,Unknown,0,0,1,
     90.2855ms,Unknown,0,0,1,
     90.286ms,Unknown,0,0,1,
     90.2865ms,Unknown,0,0,1,
     90.287ms,Unknown,0,0,1,
     90.2875ms,Unknown,0,0,1,
     90.288ms,Unknown,0,0,1,
     90.2885ms,Unknown,0,0,1,
     90.289ms,Unknown,0,0,1,
     90.2895ms,Unknown,0,0,1,
     90.29ms,Unknown,0,0,1,
     90.2905ms,Unknown,0,0,1,
     90.291ms,Unknown,0,0,1,
     90.2915ms,Unknown,0,0,1,
     90.292ms,Unknown,0,0,1,
     90.2925ms,Unknown,0,0,1,
     90.293ms,Unknown,0,0,1,
     90.2935ms,Unknown,0,0,1,
     90.294ms,Unknown,0,0,1,
     90.2945ms,Unknown,0,0,1,
     90.295ms,Unknown,0,0,1,
     90.2955ms,Unknown,0,0,1,
     90.296ms,Unknown,0,0,1,
     90.2965ms,Unknown,0,0,1,
     90.297ms,Unknown,0,0,1,
     90.2975ms,Unknown,0,0,1,
     90.298ms,Unknown,0,0,1,
     90.2985ms,Unknown,0,0,1,
     90.299ms,Unknown,0,0,1,
     90.2995ms,Unknown,0,0,1,
     90.3ms,Unknown,0,0,1,
     90.3005ms,Unknown,0,0,1,
     90.301ms,Unknown,0,0,1,
     90.3015ms,Unknown,0,0,1,
     90.302ms,Unknown,0,0,1,
     90.3025ms,Unknown,0,0,1,
     90.303ms,Unknown,0,0,1,
     90.3035ms,Unknown,0,0,1,
     90.304ms,Unknown,0,0,1,
     90.3045ms,Unknown,0,0,1,
     90.305ms,Unknown,0,0,1,
     90.3055ms,Unknown,0,0,1,
     90.306ms,Unknown,0,0,1,
     90.3065ms,Unknown,0,0,1,
     90.307ms,Unknown,0,0,1,
     90.3075ms,Unknown,0,0,1,
     90.308ms,Unknown,0,0,1,
     90.3085ms,Unknown,0,0,1,
     90.309ms,Unknown,0,0,1,
     90.3095ms,Unknown,0,0,1,
     90.31ms,Unknown,0,0,1,
     90.3105ms,Unknown,0,0,1,
     90.311ms,Unknown,0,0,1,
     90.3115ms,Unknown,0,0,1,
     90.312ms,Unknown,0,0,1,
     90.3125ms,Unknown,0,0,1,
     90.313ms,Unknown,0,0,1,
     90.3135ms,Unknown,0,0,1,
     90.314ms,Unknown,0,0,1,
     90.3145ms,Unknown,0,0,1,
     90.315ms,Unknown,0,0,1,
     90.3155ms,Unknown,0,0,1,
     90.316ms,Unknown,0,0,1,
     90.3165ms,Unknown,0,0,1,
     90.317ms,Unknown,0,0,1,
     90.3175ms,Unknown,0,0,1,
     90.318ms,Unknown,0,0,1,
     90.3185ms,Unknown,0,0,1,
     90.319ms,Unknown,0,0,1,
     90.3195ms,Unknown,0,0,1,
     90.32ms,Unknown,0,0,1,
     90.3205ms,Unknown,0,0,1,
     90.321ms,Unknown,0,0,1,
     90.3215ms,Unknown,0,0,1,
     90.322ms,Unknown,0,0,1,
     90.3225ms,Unknown,0,0,1,
     90.323ms,Unknown,0,0,1,
     90.3235ms,Unknown,0,0,1,
     90.324ms,Unknown,0,0,1,
     90.3245ms,Unknown,0,0,1,
     90.325ms,Unknown,0,0,1,
     90.3255ms,Unknown,0,0,1,
     90.326ms,Unknown,0,0,1,
     90.3265ms,Unknown,0,0,1,
     90.327ms,Unknown,0,0,1,
     90.3275ms,Unknown,0,0,1,
     90.328ms,Unknown,0,0,1,
     90.3285ms,Unknown,0,0,1,
     90.329ms,Unknown,0,0,1,
     90.3295ms,Unknown,0,0,1,
     90.33ms,Unknown,0,0,1,
     90.3305ms,Unknown,0,0,1,
     90.331ms,Unknown,0,0,1,
     90.3315ms,Unknown,0,0,1,
     90.332ms,Unknown,0,0,1,
     90.3325ms,Unknown,0,0,1,
     90.333ms,Unknown,0,0,1,
     90.3335ms,Unknown,0,0,1,
     90.334ms,Unknown,0,0,1,
     90.3345ms,Unknown,0,0,1,
     90.335ms,Unknown,0,0,1,
     90.3355ms,Unknown,0,0,1,
     90.336ms,Unknown,0,0,1,
     90.3365ms,Unknown,0,0,1,
     90.337ms,Unknown,0,0,1,
     90.3375ms,Unknown,0,0,1,
     90.338ms,Unknown,0,0,1,
     90.3385ms,Unknown,0,0,1,
     90.339ms,Unknown,0,0,1,
     90.3395ms,Unknown,0,0,1,
     90.34ms,Unknown,0,0,1,
     90.3405ms,Unknown,0,0,1,
     90.341ms,Unknown,0,0,1,
     90.3415ms,Unknown,0,0,1,
     90.342ms,Unknown,0,0,1,
     90.3425ms,Unknown,0,0,1,
     90.343ms,Unknown,0,0,1,
     90.3435ms,Unknown,0,0,1,
     90.344ms,Unknown,0,0,1,
     90.3445ms,Unknown,0,0,1,
     90.345ms,Unknown,0,0,1,
     90.3455ms,Unknown,0,0,1,
     90.346ms,Unknown,0,0,1,
     90.3465ms,Unknown,0,0,1,
     90.347ms,Unknown,0,0,1,
     90.3475ms,Unknown,0,0,1,
     90.348ms,Unknown,0,0,1,
