,,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: 27.6975ms 	T Bar position: 0ns 	B Bar position: 27.8795ms
//Channel name,| Bus1,*A0,*A1,*A2,COUNT,
     60.1655ms,Unknown,0,1,1,1,
     60.166ms,Unknown,0,1,1,1,
     60.1665ms,Unknown,0,1,1,1,
     60.167ms,Unknown,0,1,1,1,
     60.1675ms,Unknown,0,1,1,1,
     60.168ms,Unknown,0,1,1,1,
     60.1685ms,Unknown,0,1,1,1,
     60.169ms,Unknown,0,1,1,1,
     60.1695ms,Unknown,0,1,1,1,
     60.17ms,Unknown,0,1,1,1,
     60.1705ms,Unknown,0,1,1,1,
     60.171ms,Unknown,0,1,1,1,
     60.1715ms,Unknown,0,1,1,1,
     60.172ms,Unknown,0,1,1,1,
     60.1725ms,Unknown,0,1,1,1,
     60.173ms,Unknown,0,1,1,1,
     60.1735ms,Unknown,0,1,1,1,
     60.174ms,Unknown,0,1,1,1,
     60.1745ms,Unknown,0,1,1,1,
     60.175ms,Unknown,0,1,1,1,
     60.1755ms,Unknown,0,1,1,1,
     60.176ms,Unknown,0,1,1,1,
     60.1765ms,Unknown,0,1,1,1,
     60.177ms,Unknown,0,1,1,1,
     60.1775ms,Unknown,0,1,1,1,
     60.178ms,Unknown,0,1,1,1,
     60.1785ms,Unknown,0,1,1,1,
     60.179ms,Unknown,0,1,1,1,
     60.1795ms,Unknown,0,1,1,1,
     60.18ms,Unknown,0,1,1,1,
     60.1805ms,Unknown,0,1,1,1,
     60.181ms,Unknown,0,1,1,1,
     60.1815ms,Unknown,0,1,1,1,
     60.182ms,Unknown,0,1,1,1,
     60.1825ms,Unknown,0,1,1,1,
     60.183ms,Unknown,0,1,1,1,
     60.1835ms,Unknown,0,1,1,1,
     60.184ms,Unknown,0,1,1,1,
     60.1845ms,Unknown,0,1,1,1,
     60.185ms,Unknown,0,1,1,1,
     60.1855ms,Unknown,0,1,1,1,
     60.186ms,Unknown,0,1,1,1,
     60.1865ms,Unknown,0,1,1,1,
     60.187ms,Unknown,0,1,1,1,
     60.1875ms,Unknown,0,1,1,1,
     60.188ms,Unknown,0,1,1,1,
     60.1885ms,Unknown,0,1,1,1,
     60.189ms,Unknown,0,1,1,1,
     60.1895ms,Unknown,0,1,1,1,
     60.19ms,Unknown,0,1,1,1,
     60.1905ms,Unknown,0,1,1,1,
     60.191ms,Unknown,0,1,1,1,
     60.1915ms,Unknown,0,1,1,1,
     60.192ms,Unknown,0,1,1,1,
     60.1925ms,Unknown,0,1,1,1,
     60.193ms,Unknown,0,1,1,1,
     60.1935ms,Unknown,0,1,1,1,
     60.194ms,Unknown,0,1,1,1,
     60.1945ms,Unknown,0,1,1,1,
     60.195ms,Unknown,0,1,1,1,
     60.1955ms,Unknown,0,1,1,1,
     60.196ms,Unknown,0,1,1,1,
     60.1965ms,Unknown,0,1,1,1,
     60.197ms,Unknown,0,1,1,1,
     60.1975ms,Unknown,0,1,1,1,
     60.198ms,Unknown,0,1,1,1,
     60.1985ms,Unknown,0,1,1,1,
     60.199ms,Unknown,0,1,1,1,
     60.1995ms,Unknown,0,1,1,1,
     60.2ms,Unknown,0,1,1,1,
     60.2005ms,Unknown,0,1,1,1,
     60.201ms,Unknown,0,1,1,1,
     60.2015ms,Unknown,0,1,1,1,
     60.202ms,Unknown,0,1,1,1,
     60.2025ms,Unknown,0,1,1,1,
     60.203ms,Unknown,0,1,1,1,
     60.2035ms,Unknown,0,1,1,1,
     60.204ms,Unknown,0,1,1,1,
     60.2045ms,Unknown,0,1,1,1,
     60.205ms,Unknown,0,1,1,1,
     60.2055ms,Unknown,0,1,1,1,
     60.206ms,Unknown,0,1,1,1,
     60.2065ms,Unknown,0,1,1,1,
     60.207ms,Unknown,0,1,1,1,
     60.2075ms,Unknown,0,1,1,1,
     60.208ms,Unknown,0,1,1,1,
     60.2085ms,Unknown,0,1,1,1,
     60.209ms,Unknown,0,1,1,1,
     60.2095ms,Unknown,0,1,1,1,
     60.21ms,Unknown,0,1,1,1,
     60.2105ms,Unknown,0,1,1,1,
